Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,CustomerSince,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,AcceptedCmpCurrent,NumPurchases,AmountSpent,AmountPerPurchase,PersonsInHome
1951,PhD,Single,67680.0,0,1,2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,18,606,33.48066298342541,3
1948,UnderGraduate,In Relationship,70666.0,0,0,2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,15,1076,71.25827814569537,2
1971,UnderGraduate,In Relationship,25721.0,1,0,2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,4,34,8.292682926829269,3
1967,UnderGraduate,In Relationship,32474.0,1,1,2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,3,11,3.5483870967741935,4
1979,Master,Single,88194.0,0,1,2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,31,1274,40.964630225080384,3
1958,UnderGraduate,In Relationship,69096.0,0,1,2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,17,653,38.187134502923975,3
1970,UnderGraduate,In Relationship,74854.0,1,2,2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,12,1562,129.0909090909091,5
1954,Master,In Relationship,66991.0,0,0,2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,18,1253,69.22651933701657,2
1959,UnderGraduate,In Relationship,65031.0,0,1,2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,26,863,33.065134099616856,3
1975,PhD,In Relationship,60631.0,1,1,2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,19,661,34.60732984293193,4
1952,UnderGraduate,In Relationship,28332.0,0,0,2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,7,65,9.15492957746479,2
1977,UnderGraduate,Single,40246.0,1,0,2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,3,13,4.193548387096774,3
1972,Master,In Relationship,75251.0,0,0,2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,18,1890,104.41988950276242,2
1976,UnderGraduate,Single,75825.0,0,0,2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,22,2209,99.95475113122171,2
1976,Master,In Relationship,26326.0,0,0,2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,3,18,5.806451612903226,2
1965,UnderGraduate,In Relationship,56046.0,0,0,2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,19,692,36.230366492146594,2
1985,UnderGraduate,Single,29760.0,1,0,2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,8,165,20.37037037037037,3
1969,UnderGraduate,In Relationship,26304.0,1,0,2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,3,16,5.161290322580645,3
1973,Master,In Relationship,23559.0,1,0,2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,6,79,12.950819672131148,3
1963,Master,In Relationship,38620.0,0,0,2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,10,318,31.485148514851485,2
1987,UnderGraduate,Single,81361.0,0,0,2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,26,778,29.808429118773944,2
1960,UnderGraduate,In Relationship,29440.0,1,1,2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,5,56,10.980392156862745,4
1970,Master,In Relationship,36138.0,1,1,2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,8,151,18.641975308641975,4
1957,UnderGraduate,Single,50388.0,0,1,2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,13,372,28.396946564885496,3
1973,UnderGraduate,In Relationship,79593.0,0,0,2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,18,1366,75.4696132596685,2
1967,UnderGraduate,In Relationship,54178.0,0,1,2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,9,194,21.31868131868132,3
1972,Master,Single,42394.0,1,0,2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,4,32,7.8048780487804885,3
1970,PhD,In Relationship,23626.0,1,0,2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,7,43,6.056338028169014,3
1983,UnderGraduate,In Relationship,30096.0,1,0,2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,5,45,8.823529411764707,3
1960,UnderGraduate,Single,47916.0,0,1,2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,17,606,35.43859649122807,3
1972,UnderGraduate,Single,51813.0,1,1,2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,5,63,12.352941176470589,4
1951,Master,In Relationship,78497.0,0,0,2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,24,978,40.58091286307054,2
1983,PhD,In Relationship,50150.0,0,0,2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,14,410,29.078014184397166,2
1960,Master,Single,47823.0,0,1,2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,5,72,14.11764705882353,3
1959,PhD,Single,34554.0,0,1,2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,5,55,10.784313725490197,3
1979,UnderGraduate,In Relationship,85693.0,0,1,2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,25,1169,46.57370517928287,3
1945,PhD,In Relationship,65846.0,0,0,2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,15,1120,74.17218543046357,2
1959,UnderGraduate,In Relationship,87195.0,0,0,2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,19,1097,57.43455497382199,2
1979,High School,In Relationship,24594.0,1,0,2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,4,29,7.073170731707318,3
1964,UnderGraduate,In Relationship,49096.0,1,1,2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,9,187,20.54945054945055,4
1969,UnderGraduate,In Relationship,52413.0,0,2,2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,22,910,41.17647058823529,4
1978,UnderGraduate,Single,38557.0,1,0,2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,7,145,20.422535211267608,3
1960,Master,In Relationship,89058.0,0,0,2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,13,850,64.88549618320612,2
1979,UnderGraduate,In Relationship,77298.0,0,1,2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,23,969,41.94805194805195,3
1991,PhD,Single,68126.0,0,0,2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,16,1820,113.04347826086955,2
1963,Master,In Relationship,57288.0,0,1,2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,17,608,35.55555555555555,3
1991,UnderGraduate,Single,86037.0,0,0,2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,24,730,30.29045643153527,2
1980,PhD,In Relationship,43974.0,1,0,2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,16,551,34.223602484472046,3
1962,UnderGraduate,Single,50785.0,1,1,2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,6,114,18.688524590163937,4
1970,UnderGraduate,In Relationship,90765.0,0,0,2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,15,1724,114.17218543046359,2
1978,Master,In Relationship,36550.0,1,0,2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,15,577,38.211920529801326,3
1967,Master,In Relationship,30753.0,1,1,2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,5,81,15.882352941176471,4
1969,UnderGraduate,In Relationship,21918.0,1,0,2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,5,33,6.470588235294118,3
1953,Master,In Relationship,56129.0,0,1,2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,18,660,36.46408839779005,3
1967,Master,Single,32557.0,1,0,2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,6,80,13.114754098360656,3
1985,Master,In Relationship,19510.0,2,0,2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,4,30,7.317073170731708,4
1976,UnderGraduate,Single,30992.0,1,0,2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,4,43,10.487804878048781,3
1983,UnderGraduate,Single,101970.0,0,0,2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,27,1135,41.881918819188186,2
1965,Master,In Relationship,71488.0,0,0,2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,14,559,39.645390070921984,2
1984,UnderGraduate,Single,79607.0,0,0,2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,15,1923,127.35099337748345,2
1953,Master,In Relationship,54348.0,1,1,2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,6,90,14.754098360655739,4
1956,PhD,In Relationship,77376.0,1,1,2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,19,661,34.60732984293193,4
1952,UnderGraduate,In Relationship,62998.0,0,1,2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,14,463,32.836879432624116,3
1958,Master,Single,61331.0,1,1,2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,18,632,34.9171270718232,4
1969,UnderGraduate,In Relationship,73448.0,0,0,2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,18,725,40.055248618784525,2
1964,PhD,In Relationship,41551.0,1,1,2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,11,279,25.135135135135137,4
1967,PhD,In Relationship,62981.0,0,0,2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,22,1482,67.05882352941175,2
1976,High School,Single,9548.0,1,0,2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,4,29,7.073170731707318,3
1959,PhD,In Relationship,33762.0,2,1,2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,6,106,17.37704918032787,5
1973,PhD,Single,35860.0,1,1,2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,4,49,11.951219512195124,4
1965,PhD,Single,36921.0,1,1,2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,5,38,7.450980392156863,4
1992,Master,Single,92859.0,0,0,2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,21,2077,98.43601895734596,2
1976,Master,In Relationship,65104.0,0,1,2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,15,1053,69.73509933774835,3
1962,UnderGraduate,In Relationship,86111.0,0,0,2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,22,1385,62.66968325791855,2
1974,PhD,Single,68352.0,0,1,2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,22,871,39.41176470588235,3
1988,UnderGraduate,In Relationship,41883.0,1,0,2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,9,312,34.285714285714285,3
1976,UnderGraduate,In Relationship,59809.0,0,2,2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,12,877,72.47933884297521,4
1975,UnderGraduate,In Relationship,23957.0,1,0,2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,5,68,13.333333333333334,3
1981,UnderGraduate,In Relationship,38547.0,1,0,2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,3,22,7.096774193548387,3
1973,Master,In Relationship,35688.0,2,1,2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,9,211,23.186813186813186,5
1966,Master,In Relationship,49605.0,0,0,2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,7,127,17.887323943661972,2
1953,Master,In Relationship,59354.0,0,2,2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,15,459,30.397350993377483,4
1969,UnderGraduate,In Relationship,65747.0,0,1,2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,15,460,30.4635761589404,3
1972,Master,In Relationship,46344.0,0,1,2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,13,429,32.74809160305344,3
1988,UnderGraduate,Single,34176.0,1,0,2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,7,89,12.535211267605634,3
1952,PhD,In Relationship,61010.0,0,1,2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,24,1021,42.365145228215766,3
1949,UnderGraduate,In Relationship,69372.0,0,0,2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,20,1381,68.70646766169153,2
1958,UnderGraduate,Single,49967.0,0,1,2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,12,306,25.289256198347108,3
1978,UnderGraduate,Single,60199.0,1,2,2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,3,18,5.806451612903226,5
1977,UnderGraduate,In Relationship,55375.0,0,1,2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,8,162,20.0,3
1955,UnderGraduate,Single,80317.0,0,0,2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,17,1231,71.98830409356725,2
1958,Master,Single,30523.0,2,1,2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,3,13,4.193548387096774,5
1945,PhD,In Relationship,70356.0,0,0,2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,25,1706,67.96812749003983,2
1984,UnderGraduate,In Relationship,23228.0,1,0,2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,7,121,17.04225352112676,3
1975,PhD,Single,74165.0,0,0,2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,19,1293,67.69633507853402,2
1973,PhD,In Relationship,157243.0,0,1,2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,22,1608,72.76018099547511,3
1966,UnderGraduate,In Relationship,43482.0,2,1,2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,6,88,14.426229508196721,5
1953,UnderGraduate,Single,62551.0,0,0,2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,17,421,24.61988304093567,2
1959,UnderGraduate,Single,52332.0,0,0,2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,11,259,23.333333333333336,2
1988,UnderGraduate,Single,66951.0,0,0,2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,14,1117,79.21985815602837,2
1957,UnderGraduate,In Relationship,26091.0,1,1,2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,6,89,14.590163934426231,4
1965,UnderGraduate,In Relationship,33456.0,1,1,2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,4,36,8.78048780487805,4
1982,UnderGraduate,In Relationship,28718.0,1,0,2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,5,57,11.176470588235295,3
1970,UnderGraduate,In Relationship,50447.0,2,0,2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,7,148,20.845070422535212,4
1959,PhD,In Relationship,53537.0,1,1,2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,6,93,15.245901639344263,4
1967,UnderGraduate,Single,52074.0,0,1,2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,6,119,19.508196721311478,3
1975,PhD,In Relationship,80427.0,0,1,2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,27,1835,67.71217712177122,3
1948,PhD,In Relationship,83837.0,0,0,2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,24,1318,54.68879668049792,2
1970,PhD,In Relationship,38853.0,1,1,2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,5,45,8.823529411764707,4
1959,UnderGraduate,In Relationship,38285.0,2,1,2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,3,10,3.225806451612903,5
1951,Master,In Relationship,78497.0,0,0,2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,24,978,40.58091286307054,2
1976,PhD,In Relationship,51650.0,0,1,2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,9,191,20.98901098901099,3
1988,Master,In Relationship,16248.0,1,0,2014,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,6,57,9.344262295081968,3
1946,Master,In Relationship,66835.0,0,0,2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,23,1033,44.71861471861472,2
1984,Master,In Relationship,30477.0,1,0,2014,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,5,66,12.941176470588236,3
